"Time","HomeSchedulingName","AwaySchedulingName","HomeTeam","AwayTeam","HomeScores","VisitorScores","Pool","Division","Field","ReservationGroup","Place","GameName"
"2021-09-05 14:00:00","SF Loser 1","SF Loser 2","Schleudertrauma","Hucks Ultimate Club Berlin II","15","8","Finale 1-4 Finals","Mixed 3./4. Liga NO","2","mixed34no","Magdeburg",
"2021-09-05 09:00:00","Pool B 4","Pool A 3","Hechte","Colorado 2","3","15","Finale 5-7","Mixed 3. Liga SW","1","mixed3sw","TV Eppelheim bei Heidelberg",
"2021-09-05 10:40:00","Pool A 1","Pool B 2","TV Bad Rappenau","Flying Igels","15","2","Finale 1-4","Mixed 3. Liga SW","1","mixed3sw","TV Eppelheim bei Heidelberg",
"2021-09-05 12:20:00","Pool A 3","Pool B 3","Colorado 2","Disconnection 2","15","8","Finale 5-7","Mixed 3. Liga SW","1","mixed3sw","TV Eppelheim bei Heidelberg",
"2021-09-05 14:00:00","SF Winner 1","SF Winner 2","TV Bad Rappenau","Heidees TVE","15","5","Finale 1-4 Finals","Mixed 3. Liga SW","1","mixed3sw","TV Eppelheim bei Heidelberg",
"2021-09-05 10:40:00","Pool B 1","Pool A 2","Heidees TVE","Heidees","15","11","Finale 1-4","Mixed 3. Liga SW","2","mixed3sw","TV Eppelheim bei Heidelberg",
"2021-09-05 14:00:00","SF Loser 1","SF Loser 2","Flying Igels","Heidees","8","15","Finale 1-4 Finals","Mixed 3. Liga SW","2","mixed3sw","TV Eppelheim bei Heidelberg",
"2021-09-05 09:00:00","Pool B 4","Pool A 3",,,,,"Finale 5-7","DMO21_7er","1","X7","Münster",
"2021-09-05 10:40:00","Pool A 1","Pool B 2",,,,,"Finale 1-4","DMO21_7er","1","X7","Münster",
"2021-09-05 12:20:00","Pool A 3","Pool B 3",,,,,"Finale 5-7","DMO21_7er","1","X7","Münster",
"2021-09-05 14:00:00","SF Winner 1","SF Winner 2",,,,,"Finale 1-4 Finals","DMO21_7er","1","X7","Münster",
"2021-09-05 10:40:00","Pool B 1","Pool A 2",,,,,"Finale 1-4","DMO21_7er","2","X7","Münster",
"2021-09-05 14:00:00","SF Loser 1","SF Loser 2",,,,,"Finale 1-4 Finals","DMO21_7er","2","X7","Münster",
"2021-09-05 09:00:00","Pool A 3","Pool B 4","Colorado","Die 7 Todsünden","15","12","Finale 5-8","Mixed 1. Liga 1-8","1","X8","Paderborn",
"2021-09-05 10:40:00","Pool A 1","Pool B 2","Hässliche Erdferkel","Ars Ludendi","15","9","Finale 1-4","Mixed 1. Liga 1-8","1","X8","Paderborn",
"2021-09-05 12:20:00","Pool A 3","Pool B 3","Colorado","Mainzelrenner","15","14","Finale 5-8","Mixed 1. Liga 1-8","1","X8","Paderborn",
"2021-09-05 14:00:00","SF Winner 1","SF Winner 2","Hässliche Erdferkel","Disconnection","13","11","Finale 1-4 Finals","Mixed 1. Liga 1-8","1","X8","Paderborn",
"2021-09-05 09:00:00","Pool B 3","Pool A 4","Mainzelrenner","Sturmflut","12","13","Finale 5-8","Mixed 1. Liga 1-8","2","X8","Paderborn",
"2021-09-05 10:40:00","Pool B 1","Pool A 2","Sugar Mix","Disconnection","14","15","Finale 1-4","Mixed 1. Liga 1-8","2","X8","Paderborn",
"2021-09-05 12:20:00","Pool A 4","Pool B 4","Sturmflut","Die 7 Todsünden","15","11","Finale 5-8","Mixed 1. Liga 1-8","2","X8","Paderborn",
"2021-09-05 14:00:00","SF Loser 1","SF Loser 2","Ars Ludendi","Sugar Mix","8","15","Finale 1-4 Finals","Mixed 1. Liga 1-8","2","X8","Paderborn",
"2021-09-05 10:00:00",,,"Göttinger 7","Bonobos","9","15","Pool A","Mixed 2. Liga Nord","1","mixed2n","Aachen",
"2021-09-05 12:30:00",,,"Bonobos","Frizzly Bears","12","13","Pool A","Mixed 2. Liga Nord","1","mixed2n","Aachen",
"2021-09-05 10:00:00",,,"Frizzly Bears","Frizzly Bears 2","14","15","Pool A","Mixed 2. Liga Nord","2","mixed2n","Aachen",
"2021-09-05 12:30:00",,,"Göttinger 7","Frisbee Family","11","15","Pool A","Mixed 2. Liga Nord","2","mixed2n","Aachen",
"2021-09-05 10:00:00",,,"Tiefseetaucher","Zamperl","9","15","Pool A","Mixed 2. Liga Süd","1","mixed2s","Dürmentingen",
"2021-09-05 12:30:00",,,"Zamperl","MINT","15","7","Pool A","Mixed 2. Liga Süd","1","mixed2s","Dürmentingen",
"2021-09-05 10:00:00",,,"MINT","FT Ultimate Würzburg","11","15","Pool A","Mixed 2. Liga Süd","2","mixed2s","Dürmentingen",
"2021-09-05 12:30:00",,,"ULMtimates","Tiefseetaucher","6","15","Pool A","Mixed 2. Liga Süd","2","mixed2s","Dürmentingen",
"2021-09-05 10:00:00",,,"Ultimate Lions Essen","Bonnsai","8","15","Pool A","Mixed 3. Liga NW","1","mixed3nw","Dortmund",
